Longitude,Latitude,Pixel,Scan
32.2143704,-69.0042106,0,0
32.2168233,-69.004242,100,0
32.2192764,-69.0042734,200,0
32.2217296,-69.0043047,300,0
32.224183,-69.0043359,400,0
32.2266365,-69.0043672,500,0
32.2290902,-69.0043984,600,0
32.2315441,-69.0044296,700,0
32.2339981,-69.0044608,800,0
32.2364523,-69.0044919,900,0
32.2389067,-69.004523,1000,0
32.2413612,-69.004554,1100,0
32.2438159,-69.0045851,1200,0
32.2462707,-69.0046161,1300,0
32.2487257,-69.004647,1400,0
32.2511809,-69.004678,1500,0
32.2536362,-69.0047089,1600,0
32.2560917,-69.0047398,1700,0
32.2585474,-69.0047706,1800,0
32.2610032,-69.0048014,1900,0
32.2634592,-69.0048322,2000,0
32.2659153,-69.004863,2100,0
32.2683717,-69.0048937,2200,0
32.2708281,-69.0049244,2300,0
32.2732848,-69.0049551,2400,0
32.2757416,-69.0049857,2500,0
32.2781985,-69.0050163,2600,0
32.2806557,-69.0050469,2700,0
32.2831129,-69.0050774,2800,0
32.2855704,-69.0051079,2900,0
32.288028,-69.0051384,3000,0
32.2904858,-69.0051689,3100,0
32.2929437,-69.0051993,3200,0
32.2954018,-69.0052297,3300,0
32.2978601,-69.00526,3400,0
32.3003185,-69.0052903,3500,0
32.3027771,-69.0053206,3600,0
32.3052359,-69.0053509,3700,0
32.3076948,-69.0053811,3800,0
32.3101539,-69.0054113,3900,0
32.3126132,-69.0054415,4000,0
32.3150726,-69.0054716,4100,0
32.3175322,-69.0055017,4200,0
32.3199919,-69.0055318,4300,0
32.3224518,-69.0055619,4400,0
32.3249119,-69.0055919,4500,0
32.3273721,-69.0056219,4600,0
32.3298325,-69.0056518,4700,0
32.3322931,-69.0056817,4800,0
32.3347538,-69.0057116,4900,0
32.3372147,-69.0057415,5000,0
32.3396758,-69.0057713,5100,0
32.342137,-69.0058011,5200,0
32.3445984,-69.0058309,5300,0
32.3470599,-69.0058606,5400,0
32.3495216,-69.0058903,5500,0
32.3519835,-69.00592,5600,0
32.3544456,-69.0059496,5700,0
32.3569078,-69.0059793,5800,0
32.3593701,-69.0060088,5900,0
32.3618327,-69.0060384,6000,0
32.3642954,-69.0060679,6100,0
32.3667582,-69.0060974,6200,0
32.3692213,-69.0061268,6300,0
32.3716845,-69.0061563,6400,0
32.3741478,-69.0061857,6500,0
32.3766113,-69.006215,6600,0
32.379075,-69.0062444,6700,0
32.3815389,-69.0062737,6800,0
32.3840029,-69.0063029,6900,0
32.3864671,-69.0063322,7000,0
32.3889314,-69.0063614,7100,0
32.3913959,-69.0063906,7200,0
32.3938606,-69.0064197,7300,0
32.3963255,-69.0064488,7400,0
32.3987905,-69.0064779,7500,0
32.4012556,-69.006507,7600,0
32.403721,-69.006536,7700,0
32.4061865,-69.006565,7800,0
32.4086522,-69.0065939,7900,0
32.411118,-69.0066228,8000,0
32.413584,-69.0066517,8100,0
32.4160502,-69.0066806,8200,0
32.4185165,-69.0067094,8300,0
32.420983,-69.0067382,8400,0
32.4234497,-69.006767,8500,0
32.4259165,-69.0067958,8600,0
32.4283835,-69.0068245,8700,0
32.4308506,-69.0068531,8800,0
32.433318,-69.0068818,8900,0
32.4357855,-69.0069104,9000,0
32.4382531,-69.006939,9100,0
32.4407209,-69.0069675,9200,0
32.4431889,-69.0069961,9300,0
32.4456571,-69.0070246,9400,0
32.4481254,-69.007053,9500,0
32.4505939,-69.0070814,9600,0
32.4530625,-69.0071098,9700,0
32.4555314,-69.0071382,9800,0
32.4580003,-69.0071665,9900,0
32.4604695,-69.0071948,10000,0
32.4629388,-69.0072231,10100,0
32.4654083,-69.0072514,10200,0
32.4678779,-69.0072796,10300,0
32.4703478,-69.0073077,10400,0
32.4728177,-69.0073359,10500,0
32.4752879,-69.007364,10600,0
32.4777582,-69.0073921,10700,0
32.4802287,-69.0074201,10800,0
32.4826993,-69.0074482,10900,0
32.4851701,-69.0074762,11000,0
32.4876411,-69.0075041,11100,0
32.4901123,-69.007532,11200,0
32.4925836,-69.0075599,11300,0
32.4950551,-69.0075878,11400,0
32.4975267,-69.0076156,11500,0
32.4999985,-69.0076434,11600,0
32.5024705,-69.0076712,11700,0
32.5049427,-69.0076989,11800,0
32.507415,-69.0077266,11900,0
32.5098627,-69.007754,11999,0
32.2142878,-69.0050937,0,100
32.2167407,-69.005125,100,100
32.2191939,-69.0051564,200,100
32.2216472,-69.0051877,300,100
32.2241007,-69.005219,400,100
32.2265543,-69.0052502,500,100
32.2290081,-69.0052814,600,100
32.2314621,-69.0053126,700,100
32.2339162,-69.0053438,800,100
32.2363705,-69.0053749,900,100
32.2388249,-69.005406,1000,100
32.2412795,-69.0054371,1100,100
32.2437343,-69.0054681,1200,100
32.2461892,-69.0054991,1300,100
32.2486443,-69.0055301,1400,100
32.2510996,-69.005561,1500,100
32.253555,-69.0055919,1600,100
32.2560106,-69.0056228,1700,100
32.2584664,-69.0056537,1800,100
32.2609223,-69.0056845,1900,100
32.2633784,-69.0057153,2000,100
32.2658346,-69.005746,2100,100
32.268291,-69.0057767,2200,100
32.2707476,-69.0058074,2300,100
32.2732043,-69.0058381,2400,100
32.2756612,-69.0058687,2500,100
32.2781182,-69.0058993,2600,100
32.2805754,-69.0059299,2700,100
32.2830328,-69.0059605,2800,100
32.2854904,-69.005991,2900,100
32.2879481,-69.0060214,3000,100
32.290406,-69.0060519,3100,100
32.292864,-69.0060823,3200,100
32.2953222,-69.0061127,3300,100
32.2977805,-69.0061431,3400,100
32.3002391,-69.0061734,3500,100
32.3026978,-69.0062037,3600,100
32.3051566,-69.0062339,3700,100
32.3076156,-69.0062642,3800,100
32.3100748,-69.0062944,3900,100
32.3125341,-69.0063245,4000,100
32.3149937,-69.0063547,4100,100
32.3174533,-69.0063848,4200,100
32.3199132,-69.0064149,4300,100
32.3223732,-69.0064449,4400,100
32.3248333,-69.0064749,4500,100
32.3272937,-69.0065049,4600,100
32.3297541,-69.0065349,4700,100
32.3322148,-69.0065648,4800,100
32.3346756,-69.0065947,4900,100
32.3371366,-69.0066245,5000,100
32.3395977,-69.0066544,5100,100
32.3420591,-69.0066842,5200,100
32.3445205,-69.0067139,5300,100
32.3469822,-69.0067437,5400,100
32.349444,-69.0067734,5500,100
32.3519059,-69.0068031,5600,100
32.3543681,-69.0068327,5700,100
32.3568304,-69.0068623,5800,100
32.3592928,-69.0068919,5900,100
32.3617555,-69.0069214,6000,100
32.3642183,-69.006951,6100,100
32.3666812,-69.0069805,6200,100
32.3691443,-69.0070099,6300,100
32.3716076,-69.0070393,6400,100
32.3740711,-69.0070687,6500,100
32.3765347,-69.0070981,6600,100
32.3789985,-69.0071274,6700,100
32.3814624,-69.0071567,6800,100
32.3839265,-69.007186,6900,100
32.3863908,-69.0072152,7000,100
32.3888552,-69.0072444,7100,100
32.3913198,-69.0072736,7200,100
32.3937846,-69.0073028,7300,100
32.3962496,-69.0073319,7400,100
32.3987147,-69.007361,7500,100
32.4011799,-69.00739,7600,100
32.4036453,-69.007419,7700,100
32.4061109,-69.007448,7800,100
32.4085767,-69.007477,7900,100
32.4110426,-69.0075059,8000,100
32.4135087,-69.0075348,8100,100
32.415975,-69.0075637,8200,100
32.4184414,-69.0075925,8300,100
32.420908,-69.0076213,8400,100
32.4233747,-69.0076501,8500,100
32.4258417,-69.0076788,8600,100
32.4283088,-69.0077075,8700,100
32.430776,-69.0077362,8800,100
32.4332434,-69.0077649,8900,100
32.435711,-69.0077935,9000,100
32.4381788,-69.0078221,9100,100
32.4406467,-69.0078506,9200,100
32.4431147,-69.0078792,9300,100
32.445583,-69.0079076,9400,100
32.4480514,-69.0079361,9500,100
32.45052,-69.0079645,9600,100
32.4529887,-69.0079929,9700,100
32.4554576,-69.0080213,9800,100
32.4579267,-69.0080496,9900,100
32.460396,-69.0080779,10000,100
32.4628654,-69.0081062,10100,100
32.4653349,-69.0081344,10200,100
32.4678047,-69.0081627,10300,100
32.4702746,-69.0081908,10400,100
32.4727447,-69.008219,10500,100
32.4752149,-69.0082471,10600,100
32.4776853,-69.0082752,10700,100
32.4801559,-69.0083032,10800,100
32.4826266,-69.0083313,10900,100
32.4850975,-69.0083592,11000,100
32.4875686,-69.0083872,11100,100
32.4900398,-69.0084151,11200,100
32.4925112,-69.008443,11300,100
32.4949828,-69.0084709,11400,100
32.4974546,-69.0084987,11500,100
32.4999265,-69.0085265,11600,100
32.5023985,-69.0085543,11700,100
32.5048708,-69.008582,11800,100
32.5073432,-69.0086097,11900,100
32.509791,-69.0086371,11999,100
32.2142051,-69.0059767,0,200
32.2166582,-69.006008,100,200
32.2191114,-69.0060394,200,200
32.2215648,-69.0060707,300,200
