Date,Confirmed,Recovered,Deceased
2020-01-31,0.0,,0.0
2020-02-01,0.0,,0.0
2020-02-02,1.0,,0.0
2020-02-03,1.0,,0.0
2020-02-04,0.0,,0.0
2020-02-05,0.0,,0.0
2020-02-06,0.0,,0.0
2020-02-07,0.0,,0.0
2020-02-08,0.0,,0.0
2020-02-09,0.0,,0.0
2020-02-10,0.0,,0.0
2020-02-11,0.0,,0.0
2020-02-12,0.0,,0.0
2020-02-13,0.0,,0.0
2020-02-14,0.0,,0.0
2020-02-15,0.0,,0.0
2020-02-16,0.0,,0.0
2020-02-17,0.0,,0.0
2020-02-18,0.0,,0.0
2020-02-19,0.0,,0.0
2020-02-20,0.0,,0.0
2020-02-21,0.0,,0.0
2020-02-22,0.0,,0.0
2020-02-23,0.0,,0.0
2020-02-24,0.0,,0.0
2020-02-25,0.0,,0.0
2020-02-26,0.0,,0.0
2020-02-27,0.0,,0.0
2020-02-28,0.0,,0.0
2020-02-29,0.0,,0.0
2020-03-01,0.0,,0.0
2020-03-02,0.0,,0.0
2020-03-03,0.0,,0.0
2020-03-04,0.0,,0.0
2020-03-05,0.0,,0.0
2020-03-06,0.0,,0.0
2020-03-07,0.0,,0.0
2020-03-08,0.0,,0.0
2020-03-09,6.0,,0.0
2020-03-10,8.0,,0.0
2020-03-11,0.0,,0.0
2020-03-12,2.0,,0.0
2020-03-13,3.0,,0.0
2020-03-14,0.0,,0.0
2020-03-15,2.0,,0.0
2020-03-16,3.0,,0.0
2020-03-17,0.0,,0.0
2020-03-18,0.0,,0.0
2020-03-19,1.0,,0.0
2020-03-20,12.0,,0.0
2020-03-21,12.0,,0.0
2020-03-22,15.0,,0.0
2020-03-23,28.0,,0.0
2020-03-24,14.0,,0.0
2020-03-25,9.0,,0.0
2020-03-26,19.0,,0.0
2020-03-27,39.0,3.0,0.0
2020-03-28,6.0,8.0,1.0
2020-03-29,20.0,4.0,0.0
2020-03-30,32.0,0.0,0.0
2020-03-31,7.0,4.0,1.0
2020-04-01,24.0,2.0,0.0
2020-04-02,21.0,2.0,0.0
2020-04-03,9.0,14.0,0.0
2020-04-04,11.0,8.0,0.0
2020-04-05,8.0,6.0,0.0
2020-04-06,13.0,3.0,0.0
2020-04-07,8.0,12.0,0.0
2020-04-08,9.0,13.0,0.0
2020-04-09,12.0,13.0,0.0
2020-04-10,7.0,27.0,0.0
2020-04-11,10.0,19.0,0.0
2020-04-12,2.0,36.0,0.0
2020-04-13,3.0,19.0,0.0
2020-04-14,8.0,13.0,0.0
2020-04-15,1.0,7.0,0.0
2020-04-16,7.0,27.0,0.0
2020-04-17,1.0,10.0,0.0
2020-04-18,4.0,2.0,0.0
2020-04-19,2.0,13.0,0.0
2020-04-20,6.0,21.0,0.0
2020-04-21,19.0,16.0,0.0
2020-04-22,11.0,1.0,0.0
2020-04-23,10.0,8.0,0.0
2020-04-24,3.0,15.0,1.0
2020-04-25,7.0,7.0,0.0
2020-04-26,11.0,4.0,0.0
2020-04-27,13.0,13.0,0.0
2020-04-28,4.0,4.0,0.0
2020-04-29,10.0,10.0,0.0
2020-04-30,2.0,14.0,0.0
2020-05-01,0.0,9.0,0.0
2020-05-02,2.0,8.0,0.0
2020-05-03,0.0,1.0,0.0
2020-05-04,0.0,61.0,0.0
2020-05-05,3.0,0.0,0.0
2020-05-06,0.0,7.0,0.0
2020-05-07,0.0,5.0,0.0
2020-05-08,1.0,10.0,0.0
2020-05-09,2.0,1.0,0.0
2020-05-10,7.0,4.0,0.0
2020-05-11,7.0,0.0,0.0
2020-05-12,5.0,0.0,0.0
2020-05-13,10.0,1.0,0.0
2020-05-14,26.0,3.0,0.0
2020-05-15,16.0,0.0,0.0
2020-05-16,11.0,4.0,0.0
2020-05-17,14.0,0.0,0.0
2020-05-18,29.0,0.0,0.0
2020-05-19,12.0,0.0,0.0
2020-05-20,24.0,5.0,0.0
2020-05-21,24.0,8.0,0.0
2020-05-22,42.0,2.0,1.0
2020-05-23,62.0,3.0,0.0
2020-05-24,53.0,5.0,1.0
2020-05-25,49.0,12.0,1.0
2020-05-26,67.0,10.0,0.0
2020-05-27,40.0,10.0,0.0
2020-05-28,85.0,3.0,1.0
2020-05-29,62.0,10.0,1.0
2020-05-30,58.0,10.0,1.0
2020-05-31,61.0,15.0,1.0
2020-06-01,57.0,18.0,0.0
2020-06-02,86.0,19.0,1.0
2020-06-03,82.0,24.0,0.0
2020-06-04,94.0,39.0,3.0
2020-06-05,111.0,22.0,0.0
2020-06-06,108.0,50.0,1.0
2020-06-07,107.0,41.0,0.0
2020-06-08,91.0,11.0,1.0
2020-06-09,91.0,34.0,0.0
2020-06-10,65.0,57.0,1.0
2020-06-11,83.0,62.0,1.0
2020-06-12,78.0,32.0,1.0
2020-06-13,85.0,46.0,0.0
2020-06-14,54.0,56.0,0.0
2020-06-15,82.0,73.0,1.0
2020-06-16,79.0,60.0,0.0
2020-06-17,75.0,90.0,0.0
2020-06-18,97.0,89.0,1.0
2020-06-19,118.0,96.0,0.0
2020-06-20,127.0,57.0,0.0
2020-06-21,133.0,93.0,0.0
2020-06-22,138.0,88.0,0.0
2020-06-23,141.0,60.0,1.0
2020-06-24,152.0,81.0,0.0
2020-06-25,123.0,53.0,0.0
2020-06-26,150.0,65.0,0.0
2020-06-27,195.0,102.0,0.0
2020-06-28,118.0,42.0,0.0
2020-06-29,122.0,79.0,1.0
2020-06-30,131.0,75.0,1.0
2020-07-01,151.0,132.0,1.0
2020-07-02,160.0,202.0,0.0
2020-07-03,211.0,201.0,0.0
2020-07-04,240.0,209.0,0.0
2020-07-05,225.0,126.0,0.0
2020-07-06,193.0,167.0,2.0
2020-07-07,272.0,113.0,0.0
2020-07-08,301.0,105.0,0.0
2020-07-09,339.0,149.0,0.0
2020-07-10,416.0,112.0,0.0
2020-07-11,488.0,143.0,2.0
2020-07-12,435.0,132.0,2.0
2020-07-13,449.0,162.0,2.0
2020-07-14,608.0,181.0,1.0
2020-07-15,623.0,196.0,1.0
2020-07-16,722.0,228.0,2.0
2020-07-17,791.0,133.0,1.0
2020-07-18,593.0,204.0,2.0
2020-07-19,821.0,172.0,2.0
2020-07-20,794.0,245.0,1.0
2020-07-21,720.0,274.0,1.0
2020-07-22,1038.0,272.0,1.0
2020-07-23,1078.0,432.0,5.0
2020-07-24,885.0,968.0,4.0
2020-07-25,1103.0,1049.0,5.0
2020-07-26,927.0,689.0,2.0
2020-07-27,702.0,745.0,2.0
2020-07-28,1167.0,679.0,4.0
2020-07-29,903.0,645.0,1.0
2020-07-30,506.0,790.0,2.0
2020-07-31,1310.0,864.0,3.0
2020-08-01,1129.0,752.0,8.0
2020-08-02,1169.0,688.0,1.0
2020-08-03,962.0,815.0,2.0
2020-08-04,1083.0,1021.0,3.0
2020-08-05,1195.0,1234.0,7.0
2020-08-06,1298.0,800.0,3.0
2020-08-07,1251.0,814.0,5.0
2020-08-08,1420.0,1715.0,4.0
2020-08-09,1211.0,970.0,2.0
2020-08-10,1184.0,784.0,7.0
2020-08-11,1417.0,1426.0,5.0
2020-08-12,1212.0,880.0,6.0
2020-08-13,1564.0,766.0,3.0
2020-08-14,1569.0,1304.0,10.0
2020-08-15,1608.0,803.0,7.0
2020-08-16,1530.0,1099.0,10.0
2020-08-17,1725.0,1131.0,13.0
2020-08-18,1758.0,1365.0,6.0
2020-08-19,2333.0,1217.0,7.0
2020-08-20,1968.0,1217.0,9.0
2020-08-21,1983.0,1419.0,12.0
2020-08-22,2172.0,1292.0,15.0
2020-08-23,1908.0,1110.0,5.0
2020-08-24,1242.0,1238.0,11.0
2020-08-25,2375.0,1456.0,10.0
2020-08-26,2476.0,1351.0,13.0
2020-08-27,2406.0,2067.0,10.0
2020-08-28,2543.0,2097.0,7.0
2020-08-29,2397.0,2225.0,6.0
2020-08-30,2154.0,1766.0,7.0
2020-08-31,1530.0,1693.0,7.0
2020-09-01,1140.0,2111.0,4.0
2020-09-02,1547.0,2129.0,7.0
2020-09-03,1553.0,1950.0,10.0
2020-09-04,2479.0,2716.0,11.0
2020-09-05,2655.0,2111.0,11.0
2020-09-06,3082.0,2196.0,10.0
2020-09-07,1648.0,2246.0,12.0
2020-09-08,3026.0,1862.0,13.0
2020-09-09,3402.0,2058.0,12.0
2020-09-10,3349.0,1657.0,12.0
2020-09-11,2988.0,1326.0,14.0
2020-09-12,2885.0,1944.0,15.0
2020-09-13,3139.0,1855.0,14.0
2020-09-14,2540.0,2110.0,15.0
2020-09-15,3215.0,2532.0,12.0
2020-09-16,3830.0,2263.0,14.0
2020-09-17,4351.0,2737.0,9.0
2020-09-18,4167.0,2744.0,12.0
2020-09-19,4644.0,2862.0,18.0
2020-09-20,4696.0,2751.0,16.0
2020-09-21,2910.0,3026.0,18.0
2020-09-22,4125.0,3007.0,19.0
2020-09-23,5376.0,2951.0,20.0
2020-09-24,6324.0,3168.0,21.0
2020-09-25,6477.0,3481.0,22.0
2020-09-26,7006.0,3199.0,21.0
2020-09-27,7445.0,3391.0,21.0
2020-09-28,4538.0,3347.0,20.0
2020-09-29,7354.0,3420.0,22.0
